"bnum","int","cit","fsta","aktk","bed","aktf","aeda","uhr","mvnr","lfnr","ndat","nuhr","oaid","_hoodie_commit_time","sys_shard"
"722905228","15222612","2430","3","0","94233","BLO","2023-03-07 00:00:00.000","71003","0","25.0","2023-03-07 00:00:00.000","71003","0","20230707135908","44"
"726525504","15222612","364","4","3699","8880888","IN","2023-03-29 00:00:00.000","153456","9492768541","69.0","2023-03-29 00:00:00.000","153456","0","20230707135908","74"
"722913731","15222612","2430","0","1271","94233","OUT","2023-03-07 00:00:00.000","81914","9492167612","26.0","2023-03-07 00:00:00.000","81914","1028172664","20230707135908","56"
"726525531","15222612","364","1","3699","8880888","FER","2023-03-29 00:00:00.000","153511","9492768541","70.0","2023-03-29 00:00:00.000","153511","1029255717","20230707135908","74"
"722102542","15222612","11","9","0","97987","ZCO","2023-03-02 00:00:00.000","70435","0","13.0","2023-03-02 00:00:00.000","70435","0","20230707135908","15"
"726466364","15222612","2097","0","3600","98089","OUT","2023-03-29 00:00:00.000","92536","9492768541","66.0","2023-03-29 00:00:00.000","92536","1029255717","20230707135908","34"
"735082681","15222612","1269","1","12216","8880888","FER","2023-05-16 00:00:00.000","175520","9494334739","142.0","2023-05-16 00:00:00.000","175520","1031420999","20230707135908","66"
"733577738","15222612","162","4","9478","8880888","WCR","2023-05-08 00:00:00.000","182929","9494050898","124.0","2023-05-08 00:00:00.000","182929","1031000339","20230707135908","1"
"722048262","15222612","11","0","534","9000024679","OUT","2023-03-01 00:00:00.000","182248","9492019330","12.0","2023-03-01 00:00:00.000","182248","1027504010","20230707135908","47"
"725802432","15222612","2430","4","2972","8880888","IN","2023-03-25 00:00:00.000","90052","9492495289","53.0","2023-03-25 00:00:00.000","90052","1028711504","20230707135908","14"
"724780322","15222612","2430","3","0","94230","BLO","2023-03-19 00:00:00.000","104533","0","49.0","2023-03-19 00:00:00.000","104534","0","20230707135908","1"
"731782184","15222612","10","99","7800","10016640","FER","2023-04-28 00:00:00.000","161308","0","109.0","2023-04-28 00:00:00.000","161308","0","20230707135908","13"
"735418536","15222612","1269","0","12605","9000044354","OUT","2023-05-18 00:00:00.000","143510","9494412743","150.0","2023-05-18 00:00:00.000","143510","1031074933","20230707135908","22"
"723270799","15222612","2430","10","1439","97867","ANG","2023-03-09 00:00:00.000","143244","0","33.0","2023-03-09 00:00:00.000","143244","0","20230707135908","8"
"726525366","15222612","364","11","3699","8880888","WCR","2023-03-29 00:00:00.000","153409","9492768541","68.0","2023-03-29 00:00:00.000","153409","1029255717","20230707135908","47"
"721295660","15222612","11","1","6","8880888","FER","2023-02-24 00:00:00.000","181723","0","3.0","2023-02-24 00:00:00.000","181723","0","20230707135908","34"
"722155180","15222612","45369","1","701","8880888","FER","2023-03-02 00:00:00.000","130751","9492019330","17.0","2023-03-02 00:00:00.000","130751","1027504010","20230707135908","70"
"723054315","15222612","2430","11","1439","8880888","WCR","2023-03-08 00:00:00.000","73422","9492167612","28.0","2023-03-08 00:00:00.000","73422","1028172664","20230707135908","22"
"732468179","15222612","10","1","8456","9000024429","FER","2023-05-02 00:00:00.000","161217","0","118.0","2023-05-02 00:00:00.000","161217","0","20230707135908","12"
"726528601","15222612","364","1","3699","9000010675","FER","2023-03-29 00:00:00.000","155307","0","72.0","2023-03-29 00:00:00.000","155307","0","20230707135908","13"
"724656916","15222612","2430","4","2044","8880888","IN","2023-03-18 00:00:00.000","103103","9024218152","47.0","2023-03-18 00:00:00.000","103103","0","20230707135908","31"
"735419803","15222612","1269","5","12605","9000044354","FER","2023-05-18 00:00:00.000","144235","0","151.0","2023-05-18 00:00:00.000","144235","0","20230707135908","80"
"713203283","15222612","22","4","6","8880888","WCR","2022-12-28 00:00:00.000","82243","0","0.0","2022-12-28 00:00:00.000","82243","0","20230707135908","15"
"725802439","15222612","2430","1","2972","8880888","FER","2023-03-25 00:00:00.000","90053","9492495289","54.0","2023-03-25 00:00:00.000","90053","1028711504","20230707135908","31"
"735417877","15222612","1269","99","12605","9000044354","FER","2023-05-18 00:00:00.000","143057","0","149.0","2023-05-18 00:00:00.000","143057","0","20230707135908","18"
"733469027","15222612","10","11","9468","8880888","WCR","2023-05-08 00:00:00.000","95713","9493861943","121.0","2023-05-08 00:00:00.000","95713","1030765139","20230707135908","8"
